time,tick,state,pos_x,pos_y,theta,target_x,target_y,dist_to_target,v,omega,fl,fr,min_lidar
1.680,105,DRIVE,-11.874,-7.500,-0.000,-8.790,-10.723,4.461,0.350,-0.702,2.000,2.000,0.647
1.760,110,DRIVE,-11.868,-7.500,-0.000,-8.790,-10.723,4.457,0.350,-0.731,2.000,2.000,0.650
1.840,115,DRIVE,-11.855,-7.500,-0.000,-8.790,-10.723,4.448,0.350,-0.769,2.000,2.000,0.507
1.920,120,DRIVE,-11.836,-7.500,-0.000,-8.790,-10.723,4.435,0.350,-0.833,2.000,2.000,0.676
2.000,125,DRIVE,-11.813,-7.500,-0.021,-8.790,-10.723,4.419,0.350,-0.871,2.000,2.000,0.704
2.080,130,DRIVE,-11.786,-7.502,-0.071,-8.790,-10.723,4.400,0.350,-0.856,2.000,2.000,0.716
2.160,135,DRIVE,-11.758,-7.505,-0.129,-8.790,-10.723,4.379,0.350,-0.289,2.000,2.000,0.696
2.240,140,DRIVE,-11.731,-7.509,-0.154,-8.790,-10.723,4.357,0.350,-0.284,2.000,2.000,0.727
2.320,145,DRIVE,-11.703,-7.513,-0.173,-8.790,-10.723,4.335,0.350,-0.291,2.000,2.000,0.730
2.400,150,DRIVE,-11.676,-7.518,-0.194,-8.790,-10.723,4.313,0.350,-0.299,2.000,2.000,0.705
2.480,155,DRIVE,-11.648,-7.524,-0.214,-8.790,-10.723,4.290,0.350,-0.283,2.000,2.000,0.700
2.560,160,DRIVE,-11.621,-7.530,-0.232,-8.790,-10.723,4.267,0.350,-0.266,2.000,1.781,0.750
2.640,165,DRIVE,-11.594,-7.537,-0.250,-8.790,-10.723,4.244,0.350,-0.256,2.000,1.681,0.668
2.720,170,DRIVE,-11.567,-7.544,-0.264,-8.790,-10.723,4.221,0.350,0.057,2.000,1.600,0.759
2.800,175,DRIVE,-11.540,-7.551,-0.260,-8.790,-10.723,4.198,0.350,0.058,2.000,1.595,0.677
2.880,180,DRIVE,-11.513,-7.559,-0.256,-8.790,-10.723,4.175,0.350,0.060,2.000,1.590,0.776
2.960,185,DRIVE,-11.486,-7.566,-0.252,-8.790,-10.723,4.152,0.350,0.062,2.000,1.587,0.757
3.040,190,DRIVE,-11.459,-7.572,-0.248,-8.790,-10.723,4.129,0.350,0.059,2.000,1.583,0.725
3.120,195,DRIVE,-11.432,-7.579,-0.244,-8.790,-10.723,4.107,0.350,0.056,2.000,1.579,0.742
3.200,200,DRIVE,-11.404,-7.586,-0.241,-8.790,-10.723,4.084,0.350,0.054,2.000,1.575,0.765
3.280,205,DRIVE,-11.377,-7.593,-0.237,-8.790,-10.723,4.062,0.350,0.119,2.000,1.848,0.784
3.360,210,DRIVE,-11.350,-7.599,-0.229,-8.790,-10.723,4.039,0.350,0.123,2.000,1.870,0.800
3.440,215,DRIVE,-11.323,-7.605,-0.221,-8.790,-10.723,4.017,0.350,0.126,2.000,1.894,0.796
3.520,220,DRIVE,-11.296,-7.611,-0.212,-8.790,-10.723,3.995,0.350,0.130,2.000,1.921,0.792
3.600,225,DRIVE,-11.268,-7.617,-0.203,-8.790,-10.723,3.974,0.350,0.125,2.000,1.952,0.792
3.680,230,DRIVE,-11.241,-7.622,-0.195,-8.790,-10.723,3.953,0.350,0.117,2.000,1.983,0.840
3.760,235,DRIVE,-11.213,-7.628,-0.187,-8.790,-10.723,3.931,0.350,0.112,2.000,2.000,0.852
3.840,240,DRIVE,-11.186,-7.633,-0.180,-8.790,-10.723,3.910,0.350,0.068,2.000,2.000,0.829
3.920,245,DRIVE,-11.158,-7.638,-0.175,-8.790,-10.723,3.890,0.350,0.070,2.000,2.000,0.664
4.000,250,DRIVE,-11.131,-7.643,-0.170,-8.790,-10.723,3.869,0.350,0.072,2.000,2.000,0.843
4.080,255,DRIVE,-11.103,-7.647,-0.165,-8.790,-10.723,3.849,0.350,0.074,2.000,2.000,0.730
4.160,260,DRIVE,-11.076,-7.652,-0.160,-8.790,-10.723,3.829,0.350,0.071,2.000,2.000,0.716
4.240,265,DRIVE,-11.048,-7.656,-0.155,-8.790,-10.723,3.809,0.350,0.066,2.000,2.000,0.716
4.320,270,DRIVE,-11.020,-7.660,-0.151,-8.790,-10.723,3.789,0.350,0.063,2.000,2.000,0.523
4.400,275,DRIVE,-10.993,-7.664,-0.146,-8.790,-10.723,3.770,0.350,0.061,2.000,2.000,0.860
4.480,280,DRIVE,-10.965,-7.668,-0.145,-8.790,-10.723,3.750,0.350,0.014,2.000,2.000,0.865
4.560,285,DRIVE,-10.937,-7.673,-0.144,-8.790,-10.723,3.731,0.350,0.014,2.000,2.000,0.876
4.640,290,DRIVE,-10.910,-7.677,-0.143,-8.790,-10.723,3.712,0.350,0.015,2.000,2.000,0.734
4.720,295,DRIVE,-10.882,-7.680,-0.142,-8.790,-10.723,3.693,0.350,0.014,2.000,2.000,0.855
4.800,300,DRIVE,-10.854,-7.684,-0.141,-8.790,-10.723,3.674,0.350,0.013,2.000,2.000,0.871
4.880,305,DRIVE,-10.827,-7.688,-0.140,-8.790,-10.723,3.655,0.350,0.012,2.000,2.000,0.915
4.960,310,DRIVE,-10.799,-7.692,-0.139,-8.790,-10.723,3.637,0.350,0.012,2.000,2.000,0.885
5.040,315,DRIVE,-10.771,-7.696,-0.139,-8.790,-10.723,3.618,0.350,-0.009,2.000,2.000,0.853
5.120,320,DRIVE,-10.744,-7.700,-0.140,-8.790,-10.723,3.600,0.350,-0.009,2.000,2.000,0.834
5.200,325,DRIVE,-10.716,-7.704,-0.141,-8.790,-10.723,3.582,0.350,-0.010,2.000,2.000,0.807
5.280,330,DRIVE,-10.688,-7.708,-0.141,-8.790,-10.723,3.563,0.350,-0.009,2.000,2.000,0.769
5.360,335,DRIVE,-10.661,-7.712,-0.142,-8.790,-10.723,3.545,0.350,-0.009,2.000,2.000,0.744
5.440,340,DRIVE,-10.633,-7.716,-0.143,-8.790,-10.723,3.527,0.350,-0.008,2.000,1.988,0.722
5.520,345,DRIVE,-10.605,-7.720,-0.143,-8.790,-10.723,3.510,0.350,-0.008,2.000,1.968,0.700
5.600,350,DRIVE,-10.578,-7.724,-0.144,-8.790,-10.723,3.492,0.350,-0.010,2.000,1.948,0.694
5.680,355,DRIVE,-10.550,-7.728,-0.145,-8.790,-10.723,3.474,0.350,-0.010,2.000,1.926,0.667
5.760,360,DRIVE,-10.522,-7.732,-0.145,-8.790,-10.723,3.457,0.350,-0.010,2.000,1.905,0.647
5.840,365,DRIVE,-10.495,-7.736,-0.146,-8.790,-10.723,3.440,0.350,-0.010,2.000,1.884,0.620
5.920,370,DRIVE,-10.467,-7.740,-0.147,-8.790,-10.723,3.423,0.350,-0.010,2.000,1.863,0.606
6.000,375,DRIVE,-10.439,-7.744,-0.147,-8.790,-10.723,3.405,0.350,-0.009,2.000,1.843,0.584
6.080,380,DRIVE,-10.412,-7.748,-0.148,-8.790,-10.723,3.389,0.350,-0.009,2.000,1.822,0.558
6.160,385,DRIVE,-10.384,-7.752,-0.148,-8.790,-10.723,3.372,0.350,-0.004,2.000,1.803,0.531
6.240,390,DRIVE,-10.356,-7.756,-0.149,-8.790,-10.723,3.355,0.350,-0.005,2.000,1.785,0.522
6.320,395,DRIVE,-10.329,-7.761,-0.149,-8.790,-10.723,3.339,0.350,-0.005,2.000,1.767,0.494
6.400,400,DRIVE,-10.301,-7.765,-0.149,-8.790,-10.723,3.322,0.350,-0.005,2.000,1.748,0.483
6.480,405,DRIVE,-10.273,-7.769,-0.150,-8.790,-10.723,3.306,0.350,-0.004,2.000,1.730,0.471
6.560,410,DRIVE,-10.246,-7.773,-0.150,-8.790,-10.723,3.290,0.350,-0.004,2.000,1.712,0.453
6.640,415,DRIVE,-10.218,-7.777,-0.150,-8.790,-10.723,3.274,0.350,-0.004,2.000,1.694,0.444
6.720,420,DRIVE,-10.191,-7.781,-0.151,-8.790,-10.723,3.258,0.350,-0.000,2.000,1.677,0.427
